	shannon_entropy	chao1
S10D0	5.743683346	466.2777778
S10D1	6.38867394	366.375
S10D2	5.915188234	457.3529412
S10D28	6.153026754	386.2758621
S10D3	6.029222764	368.2142857
S11D0	6.284693272	577.7142857
S11D1	6.124673977	371.0833333
S11D14	6.25072794	350
S11D2	6.078587235	366.3333333
S11D28	6.339446239	343.4285714
S11D3	5.587241948	361.1428571
S11D7	6.023221546	363.75
S12D0	6.413714645	378.1111111
S12D3	5.274567338	336
S12D7	6.341177166	401.25
S13D0	5.710545841	322.4
S13D1	5.114709208	350.2352941
S13D14	5.224970074	329.8571429
S13D2	2.957523141	278.875
S13D28	5.786506639	326.625
S13D3	4.632961971	254.375
S13D7	4.590991109	298
S14D0	5.972754103	322.1111111
S14D1	6.068356892	346.25
S14D14	6.201206337	329.8571429
S14D2	4.640790766	286
S14D28	6.157161496	321.0909091
S14D3	4.003178447	320.0909091
S14D7	5.655647804	310.7692308
S15D0	6.726473291	383.375
S15D14	5.905694052	317
S15D2	4.567698501	279.3
S15D28	6.244028451	338.625
S15D3	5.759751262	370.4615385
S15D7	5.780870037	303.2727273
S16D0	6.320006819	330.1111111
S16D1	5.709336442	300.5833333
S16D14	6.154533176	313.2142857
S16D2	3.05463426	261.75
S16D28	6.318426128	369.8125
S16D3	3.943549872	242.4615385
S16D7	6.196768957	320.6
S17D0	5.908967306	242.375
S17D1	5.802529723	259.25
S17D14	5.42849212	221.25
S17D2	5.596402327	250.3
S17D28	5.558896079	232.6666667
S17D3	5.717769269	236.3
S17D7	5.202919143	209.4285714
S19D0	5.393452285	237.125
S19D1	2.339326083	186.5
S19D14	6.059482632	256.6666667
S19D2	3.887350015	197.5454545
S19D28	5.421768435	257.6
S19D3	4.70433104	224
S19D7	5.388604989	282.5
S1D0	5.25568963	213
S1D1	5.734454237	256.0526316
S1D14	5.063735243	201.125
S1D28	4.52098647	216.4615385
S1D3	2.012522685	205.4736842
S1D7	4.97145522	192
S20D0	4.951076163	177.5
S20D1	4.78245925	195.3333333
S20D14	4.61104798	135.5
S20D2	2.500453235	132.75
S20D28	5.722691772	298.1111111
S20D3	2.962581858	116.4285714
S20D7	4.323151528	132
S21D0	4.097046407	127.6
S21D1	3.650350919	129
S21D14	5.595064148	307.1
S21D2	3.209377523	109.375
S21D28	5.443793858	267.1111111
S21D3	4.138910619	131
S21D7	5.908566578	299.875
S22D0	5.817184833	278.0833333
S22D1	5.382513424	273.25
S22D14	6.040650147	288.25
S22D2	2.658976806	107.75
S22D28	6.20485937	303.3333333
S22D3	4.339621127	156.6666667
S22D7	4.287887416	119
S23D0	6.236816689	293.4285714
S23D1	6.319907688	288
S23D14	5.89139393	282.6666667
S23D2	5.811970107	288.6
S23D28	5.941936841	291.3333333
S23D3	5.450372141	265.1111111
S23D7	5.820182625	281.2
S24D0	6.274940442	339
S24D1	6.160922797	439.25
S24D14	5.799296101	309.2307692
S24D2	3.944078224	298
S24D28	5.853111863	309.625
S24D3	4.306366036	288.75
S24D7	5.710636228	298.9090909
S25D0	6.505350479	344.6
S25D1	6.055727759	342
S25D14	6.32782828	377.1428571
S25D2	5.811649691	329.2727273
S25D28	5.54379842	232
S25D3	5.841717391	346.4
S25D7	6.120838233	287.2
S26D0	6.284407221	350.1538462
S26D1	6.043825322	318.75
S26D14	6.29762249	307
S26D2	5.293309232	271
S26D28	5.896866295	277.1111111
S26D3	5.661074966	292.125
S26D7	6.18741747	306
S27D0	6.347554611	301.375
S27D1	5.88985637	297
S27D14	5.293539202	287.1428571
S27D2	6.322659307	315.25
S27D28	4.441374182	196
S27D3	6.567727616	343.1428571
S27D7	5.31165308	233.8571429
S29D0	6.064375127	314.4285714
S29D1	5.958108899	293.3333333
S29D14	5.32962409	224.6
S29D2	5.149290676	247.6
S29D28	5.597046019	245
S29D3	4.853552304	224.2
S29D7	5.012125984	212.25
S2D0	4.417272803	195.3
S2D1	4.109741035	205.0833333
S2D14	3.19195528	210.3529412
S2D2	2.112420047	190.4285714
S2D28	4.176803483	178
S2D3	3.605465885	197.1111111
S30D0	5.648128185	269.5
S30D1	6.080231684	270.4285714
S30D14	5.215933582	219
S30D2	5.51844285	243.2
S30D28	5.416073775	223.75
S30D3	5.314315497	237.1
S30D7	5.469392224	216
S31D0	5.815881723	254.5
S31D1	5.362890443	251
S31D14	6.061954118	297.3333333
S31D2	4.662466262	183
S31D28	5.6109418	254
S31D3	5.65281199	250.1111111
S31D7	5.974573666	258
S33D0	6.243523947	295.6
S33D1	6.505458482	340.0833333
S33D3	5.424002591	262.5
S33D7	5.391605014	241
S3D0	6.433522706	312.0588235
S3D1	6.352857386	294.1
S3D14	6.324160673	321
S3D2	5.235092222	275.2727273
S3D28	6.058799146	273.6
S3D3	5.501540634	269.4285714
S3D7	6.247544508	302
S4D0	6.058777018	296.2142857
S4D1	5.949946523	288
S4D14	5.909052465	267.3
S4D2	6.15515457	309.6
S4D28	6.157835653	300
S4D3	5.196328755	273
S4D7	5.898915705	291.2
S5D0	5.165760622	219
S5D1	2.631416652	206.875
S5D14	4.325311041	217.3333333
S5D2	4.752445983	235
S5D28	5.637290399	262.0909091
S5D3	2.728119113	217.5
S5D7	4.687748265	228.6666667
S6D0	6.079250723	282.1111111
S6D1	5.001958326	277
S6D14	4.677612183	215.1
S6D2	2.792972405	206.0769231
S6D28	5.18829212	210
S6D3	2.568931966	181.6
S6D7	4.824496559	206.6
S7D0	6.178763142	338.9090909
S7D1	6.041106153	349.9090909
S7D14	5.480098301	289.6666667
S7D2	5.914939185	325.4285714
S7D28	6.083876831	322.5
S7D3	6.166950886	319.3636364
S7D7	5.809294873	335.8333333
S8D0	5.746444224	266.25
S8D1	5.843244388	295
S8D14	5.598554823	302.6470588
S8D2	5.248047239	273.4
S8D3	5.98849548	284.2307692
S8D7	5.327938818	288.6
S9D0	6.39753358	383.6666667
S9D1	6.247908838	377.2307692
S9D14	6.154940549	338.4285714
S9D2	6.42575618	371
S9D28	6.053215106	358.4736842
S9D3	6.378554542	372
S9D7	6.159717831	406.6
