Sample ID,Faecali,16S,Faecali.GC,16S.GC,normalized.1 (GC/uL),Group
S1D0,20.1,12.74,29645.78,2332403.05,45787.12029,AAD
S1D0,20.82,12.86,18977.22,2156686.19,31697.84856,AAD
S1D0,20.72,13.59,20255.75,1383899.44,52726.37003,AAD
S17D0,14.04,11.13,1254289.62,6275989.08,719945.6355,non-AAD
S17D0,14.56,11.65,907497.41,4565221.44,716089.9844,non-AAD
S17D0,14.37,12.53,1022334.32,2644099.57,1392833.443,non-AAD
S2D0,17.08,12.83,191290.49,2208383.78,312034.6942,AAD
S2D0,17.64,12.71,135042.26,2378940.34,204489.123,AAD
S2D0,17.65,13.17,134178.66,1789398.61,270122.2886,AAD
S19D0,15.75,11.68,435114.21,4477840.18,350040.8488,AAD
S19D0,16.36,12.2,298648.24,3256807.84,330332.9354,AAD
S19D0,16.27,12.32,316435.58,3016522.26,377887.7659,AAD
S3D0,16.49,14.87,275849.06,625766.78,,non-AAD
S3D0,17.32,14.82,164503.18,647535.18,915155.6765,non-AAD
S3D0,17.24,14.99,173598.89,584577.02,1069767.16,non-AAD
S20D0,18.44,12.37,82752.91,2922433.24,102005.295,AAD
S20D0,19.18,12.53,52276.6,2643480.01,71238.59275,AAD
S20D0,19.03,12.67,57495.39,2431438.72,85183.16291,AAD
S4D0,15.1,11.89,649065.46,3919235.77,596583.3965,non-AAD
S4D0,16.09,12.02,353533.58,3634973.74,350359.1325,non-AAD
S4D0,16.09,13.18,353721.05,1772080.74,719053.9102,non-AAD
S21D0,14.56,11.87,908312.23,3990480.35,819962.5906,AAD
S21D0,15.19,11.81,616477.97,4125851.64,538254.9181,AAD
S21D0,15.18,12.07,617223.58,3516687.54,632255.7334,AAD
S5D0,15.16,12.35,625545.66,2969067.95,758967.0723,AAD
S5D0,15.62,12.56,470487.27,2603248.61,651052.9071,AAD
S5D0,15.61,12.41,473587.63,2845950.43,599455.6651,AAD
S22D0,14.05,11.77,1244825.94,4229461.63,1060248.32,non-AAD
S22D0,14.79,11.64,785059.19,4575625.26,618067.6416,non-AAD
S22D0,14.66,11.77,854874.39,4229957.21,728031.8594,non-AAD
S6D0,14.37,11.68,1017345.5,4460004.26,821707.4909,AAD
S6D0,14.94,11.73,717023.79,4341024.27,595011.5602,AAD
S6D0,15.05,11.99,671586.51,3700936.84,653693.7699,AAD
